K05S42W 17.5   0.15 K14C9  21.98723  184.87427  205.14813   14.30021  0.1104653  0.22413189   2.6841098  3 E2014-U41    24   2 2005-2014 0.19 M-v 38h MPCADO     0000          2005 SW42          20141023
K05SH1D 17.6   0.15 K14C9  51.12325  139.47497  213.43208    6.01677  0.1150409  0.22555813   2.6727831  3 E2014-U41    33   3 2001-2014 0.32 M-v 38h MPCADO     0000          2005 SD171         20141021
K05SM2C 16.3   0.15 K14C9  35.19815  230.16203  103.90189   10.71936  0.2389330  0.21899196   2.7259461  4 E2014-U41    26   2 2005-2014 0.43 M-v 38h MPCADO     0000          2005 SC222         20141023
K05TD0E 17.3   0.15 K14C9  66.92719  298.31250   33.21707    2.92878  0.1812165  0.22279322   2.6948509  3 E2014-U41    35   3 2005-2014 0.25 M-v 38h MPCADO     0000          2005 TE130         20141022
K05U04L 16.4   0.15 K14C9 359.01924  190.94313  220.17760   11.48498  0.1199183  0.21926568   2.7236770  1 E2014-U41   106   6 2000-2014 0.48 M-v 38h MPCADO     0000          2005 UL4           20141023
K05U50W 17.1   0.15 K14C9  46.36415  332.80644   13.01318    5.35287  0.2422086  0.21970785   2.7200215  4 E2014-U41    24   3 2005-2014 0.48 M-v 38h MPCADO     0000          2005 UW50          20141022
K05U99J 17.7   0.15 K14C9 341.50600   13.13708   69.69944   10.54849  0.1850156  0.21871395   2.7282556  4 E2014-U41    21   2 2005-2014 0.24 M-v 38h MPCADO     0000          2005 UJ99          20141023
K05UC8K 16.8   0.15 K14C9 336.11602   46.47208   43.46635   11.90743  0.1100901  0.22019746   2.7159880  3 E2014-U41    39   3 2005-2014 0.37 M-v 38h MPCADO     0000          2005 UK128         20141022
K05UL9Q 17.1   0.15 K14C9  36.23778   91.73677  276.11502    3.56410  0.1327476  0.22002168   2.7174343  0 E2014-U41    41   6 2000-2014 0.32 M-v 38h MPCADO     0400          2005 UQ219         20141021
K05UO0T 16.8   0.15 K14C9  64.17423  253.09417   96.57059    6.11120  0.1334150  0.22187375   2.7022909  0 E2014-U41    54   6 2005-2014 0.42 M-v 38h MPCADO     0400          2005 UT240         20141023
K05UO7O 16.8   0.15 K14C9 355.52409  193.97590  219.85054    5.14518  0.0251422  0.21677551   2.7444958  0 E2014-U41    60   7 1994-2014 0.31 M-v 38h MPCADO     0400          2005 UO247         20141023
K05UT1R 17.0   0.15 K14C9  65.88195   88.45552  244.78382    8.94746  0.0861769  0.21730222   2.7400591  4 E2014-U41    18   2 2005-2014 0.33 M-v 38h MPCLINUX   0000          2005 UR291         20141021
K05UT3C 17.1   0.15 K14C9  40.42224  351.74185    6.21427    3.39686  0.1030608  0.21649431   2.7468718  1 E2014-U41    44   6 2001-2014 0.55 M-v 38h MPCADO     0000          2005 UC293         20141023
K05UX1Z 16.7   0.15 K14C9 178.64435  152.52885   88.23593    6.08010  0.0607665  0.22033693   2.7148417  0 E2014-U41    42   7 2003-2014 0.30 M-v 38h MPCADO     0400          2005 UZ331         20141022
K05UX7T 16.9   0.15 K14C9 106.62669   62.81495  214.33260   13.27386  0.1926040  0.21822577   2.7323229  0 E2014-U41    33   4 2005-2014 0.24 M-v 38h MPCADO     0000          2005 UT337         20141021
K05Uc3V 16.8   0.15 K14C9  26.33661  317.85253   61.03539   12.76701  0.1953877  0.22211111   2.7003654  1 E2014-U41    52   4 2005-2014 0.41 M-v 38h MPCADO     0000          2005 UV383         20141023
K05Ud6D 16.5   0.15 K14C9 349.93426  223.46148  215.13064   12.63638  0.1638476  0.22138609   2.7062578  1 E2014-U41    60   5 2003-2014 0.50 M-v 38h MPCADO     0400          2005 UD396         20141023
K05Ug0U 17.1   0.15 K14C9  44.33274  322.45618   49.45602   10.68470  0.1263257  0.22133155   2.7067023  4 E2014-U41    27   2 2005-2014 0.26 M-v 38h MPCW       0000          2005 UU420         20141021
K05V82M 17.7   0.15 K14C9 327.51444  215.83714  245.21813    6.34203  0.1778173  0.21901137   2.7257851  4 E2014-U41    25   2 2005-2014 0.30 M-v 38h MPCLINUX   0000          2005 VM82          20141021
K05VA7Y 16.8   0.15 K14C9  11.96102  350.69233   61.95029   15.16200  0.1795753  0.21851909   2.7298773  3 E2014-U41    41   2 2005-2014 0.40 M-v 38h MPCADO     0000          2005 VY107         20141023
K05W77S 16.5   0.15 K14C9  14.23735  324.71309   63.94065    7.53077  0.0586621  0.20990399   2.8040705  1 E2014-U41    35   4 2005-2014 0.27 M-v 38h MPCADO     0000          2005 WS77          20141021
K06H09V 16.2   0.15 K14C9 342.04009   31.27923   62.87856   12.83849  0.1039921  0.19015941   2.9949586  3 E2014-U41    21   3 2001-2014 0.31 M-v 38h MPCADO     0000          2006 HV9           20141022
K06J60D 15.9   0.15 K14C9  15.22287  352.16480   54.53340   12.23291  0.0608522  0.17632202   3.1496697  3 E2014-U41    27   3 2006-2014 0.24 M-v 38h MPCADO     0000          2006 JD60          20141021
K06TC4S 18.9   0.15 K14C9 340.28298  233.11776  213.57478   20.62290  0.0961501  0.37265998   1.9124682  2 E2014-U41    27   3 2006-2014 0.25 M-v 38h MPCADO     0006          2006 TS124         20141022
K07E23T 16.3   0.15 K14C9 337.22249   11.30089   44.80669    6.35567  0.0634297  0.20254848   2.8715522  0 E2014-U41    69   6 2005-2014 0.33 M-v 38h MPCADO     0400          2007 ET23          20141018
K07E30M 17.4   0.15 K14C9 344.15548  259.41364  181.61098    8.47454  0.1844591  0.22151430   2.7052134  0 E2014-U41    36   4 2000-2014 0.36 M-v 38h MPCADO     0000          2007 EM30          20141023
K07F15Q 17.0   0.15 K14C9 277.28656  251.23560  277.04442    3.14432  0.1760634  0.22532125   2.6746561  2 E2014-U41    38   4 2007-2014 0.43 M-v 38h MPCADO     0000          2007 FQ15          20141021
K07L06H 16.0   0.15 K14C9  72.76146  101.87730  209.80378   23.27569  0.1217802  0.17597374   3.1538242  0 E2014-U41    26   4 1997-2014 0.29 M-v 38h MPCADO     0000          2007 LH6           20141022
K07T62N 18.2   0.15 K14C9  96.75882  261.53436   24.19827    3.45018  0.2191495  0.28275293   2.2989594  4 E2014-U41    20   2 2007-2014 0.49 M-v 38h MPCLINUX   0000          2007 TN62          20141021
K07TC9V 18.5   0.15 K14C9   4.43146  203.40847  207.39638    4.43007  0.2415999  0.28104392   2.3082699  3 E2014-U41    64   3 2000-2014 0.45 M-v 38h MPCADO     0000          2007 TV129         20141023
K07TO8O 17.9   0.15 K14C9  28.42924  207.21468  184.44920    6.56652  0.1402277  0.28420166   2.2911401  2 E2014-U41    29   3 2007-2014 0.26 M-v 38h MPCADO     0000          2007 TO248         20141022
K07TU9Q 18.4   0.15 K14C9  41.15621  306.13344   52.48795    4.60925  0.1647254  0.28378356   2.2933899  4 E2014-U41    31   2 2007-2014 0.26 M-v 38h MPCADO     0000          2007 TQ309         20141023
K07Tb4A 18.1   0.15 K14C9  37.69332  214.07941  144.91329    4.80082  0.2604854  0.28037367   2.3119471  2 E2014-U41    45   3 2007-2014 0.36 M-v 38h MPCADO     0000          2007 TA374         20141023
K07V97S 18.4   0.15 K14C9 338.22404  182.95696  255.29286    5.18048  0.1245888  0.27791093   2.3255854  1 E2014-U41    35   4 2005-2014 0.36 M-v 38h MPCADO     0000          2007 VS97          20141021
K07W53D 18.7   0.15 K14C9   3.24225   16.12439   26.97205    5.44121  0.1727174  0.27641861   2.3339481  2 E2014-U41    44   3 2007-2014 0.35 M-v 38h MPCADO     0000          2007 WD53          20141023
K08E84J 17.7   0.15 K14C9 227.08604  187.66246  356.07576    6.00204  0.0838171  0.24139761   2.5545480  4 E2014-U41    34   4 2004-2014 0.43 M-v 38h MPCADO     0000          2008 EJ84          20141023
K08F51S 17.6   0.15 K14C9  78.89141  263.45592   52.07980    3.31891  0.0496246  0.22808818   2.6529813  1 E2014-U41    31   4 2005-2014 0.26 M-v 38h MPCADO     0000          2008 FS51          20141022
K08R53R 16.8   0.15 K14C9 351.12310  256.84573  173.16455   24.09987  0.3744764  0.17434058   3.1734894  2 E2014-U41    33   2 2008-2014 0.32 M-v 38h MPCADO     0000          2008 RR53          20141023
K08SD9D 16.4   0.15 K14C9   6.53819  319.33300   95.54456    5.23262  0.1162100  0.17065036   3.2190761  0 E2014-U41    40   5 2002-2014 0.28 M-v 38h MPCADO     0000          2008 SD139         20141023
K08SK3S 16.5   0.15 K14C9  18.95952  195.09991  190.29043   10.00852  0.2176141  0.16599756   3.2789508  2 E2014-U41    36   3 2002-2014 0.26 M-v 38h MPCADO     0000          2008 SS203         20141023
K08ST4T 16.5   0.15 K14C9  23.14957   97.60200  281.86302    8.74827  0.2632724  0.17285831   3.1916055  3 E2014-U41    29   2 2008-2014 0.58 M-v 38h MPCADO     0000          2008 ST294         20141022
K08T65C 16.9   0.15 K14C9  32.77709  154.54032  212.11013   14.29044  0.2659574  0.17196890   3.2026005  2 E2014-U41    50   2 2008-2014 0.27 M-v 38h MPCADO     0000          2008 TC65          20141023
K08U13X 16.6   0.15 K14C9 351.68326  221.68557  211.73302   11.40771  0.1244629  0.17653092   3.1471844  2 E2014-U41    40   4 2006-2014 0.32 M-v 38h MPCADO     0000          2008 UX13          20141023
K08U15K 16.8   0.15 K14C9 350.95539  216.07152  211.20960    9.30444  0.1334377  0.17455591   3.1708791  4 E2014-U41    22   2 2008-2014 0.35 M-v 38h MPCLINUX   0000          2008 UK15          20141022
K08UN0Z 16.7   0.15 K14C9 358.48570  216.82925  203.05922   15.87305  0.1907357  0.17312599   3.1883148  2 E2014-U41    25   2 2008-2014 0.21 M-v 38h MPCADO     0000          2008 UZ230         20141023
